pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,rpy.r,rpy.p,rpy.y,bat.time,bat
1719913591821410475,-0.6657451391220093,-0.22392281889915466,0.9397993683815002,1719913591824202870,0.2535216510295868,0.008110411465168,0.09800995886325836,0.9623165130615234,1719913591816025466,-0.6771324872970581,0.48632165789604187,-0.01702590100467205,1719913591820215349,17.4979190826416,-20.4470157623291,23.320934295654297,1719913591818283926,51792.0,53471.0,55343.0,43603.0,10.950892448425293,-2.1292450428009033,150.4672088623047,1719913591816917119,3.124926805496216
1719913591830639668,-0.672760009765625,-0.21824510395526886,0.9397355318069458,1719913591832008908,0.25157028436660767,0.01073445938527584,0.09912595897912979,0.9626885652542114,1719913591826382177,-0.6752771735191345,0.5083744525909424,-0.017914973199367523,1719913591830329670,16.80921745300293,-24.126483917236328,22.771623611450195,1719913591828287130,61340.0,39295.0,38706.0,55103.0,11.119619369506836,-1.9533467292785645,150.6717987060547,1719913591827232183,3.1302053928375244
1719913591841160775,-0.6787724494934082,-0.21345189213752747,0.9391805529594421,1719913591842514589,0.2497328370809555,0.01419768761843443,0.09978149831295013,0.9630542993545532,1719913591835436910,-0.6667898297309875,0.5285073518753052,-0.018788214772939682,1719913591840396002,12.029363632202148,-38.587181091308594,22.48861312866211,1719913591837454139,42877.0,57890.0,55397.0,45395.0,11.323009490966797,-1.6736418008804321,150.87579345703125,1719913591836412426,3.1143696308135986
1719913591850671190,-0.6834350228309631,-0.20864658057689667,0.9395955801010132,1719913591851849606,0.24826742708683014,0.018687698990106583,0.09973747283220291,0.9633610248565674,1719913591845616965,-0.6543382406234741,0.5443538427352905,-0.022243931889533997,1719913591849363193,6.089632987976074,-52.88767623901367,23.76447105407715,1719913591848373879,42552.0,57113.0,59116.0,51039.0,11.497902870178223,-1.288756251335144,151.05503845214844,1719913591847406574,3.124926805496216
1719913591860033260,-0.6910987496376038,-0.20194271206855774,0.9394245743751526,1719913591861124562,0.24673469364643097,0.023353837430477142,0.09918992221355438,0.9637094736099243,1719913591855944633,-0.6397210955619812,0.5604732632637024,-0.020128050819039345,1719913591859124032,2.8108484745025635,-58.89491653442383,24.671823501586914,1719913591858038283,40679.0,56296.0,52272.0,40912.0,11.622598648071289,-0.774497926235199,151.17636108398438,1719913591856748559,3.124926805496216
1719913591871474211,-0.6969932913780212,-0.1967218816280365,0.9391658902168274,1719913591872741458,0.24515864253044128,0.02872808650135994,0.09804011881351471,0.9640840888023376,1719913591864191510,-0.635857880115509,0.582569420337677,-0.02065427415072918,1719913591869704517,1.2657216787338257,-57.66869354248047,25.329696655273438,1719913591867774350,57517.0,46444.0,42930.0,58882.0,11.695295333862305,-0.22543427348136902,151.30162048339844,1719913591866616905,3.098533868789673
1719913591882620644,-0.6990460157394409,-0.19532516598701477,0.938808023929596,1719913591883386545,0.2437301129102707,0.035520799458026886,0.09576887637376785,0.964448094367981,1719913591875709785,-0.6249698400497437,0.5981745719909668,-0.022295856848359108,1719913591880847628,-4.931771278381348,-65.78251647949219,22.84760093688965,1719913591879246702,33360.0,58936.0,59939.0,43616.0,11.720026969909668,0.41951286792755127,151.4220428466797,1719913591877009822,3.1407625675201416
1719913591891625247,-0.7061108350753784,-0.18792960047721863,0.9384176731109619,1719913591894361573,0.2421673983335495,0.041747793555259705,0.09371484816074371,0.9647940993309021,1719913591886606098,-0.594036340713501,0.5913953185081482,-0.028182435780763626,1719913591890748803,-5.894773006439209,-67.87538146972656,24.890308380126953,1719913591889665744,41221.0,56203.0,61264.0,48047.0,11.659307479858398,1.251004695892334,151.50718688964844,1719913591888554353,3.1038124561309814
1719913591902756028,-0.7143377065658569,-0.1793295443058014,0.9375263452529907,1719913591903807808,0.2404768019914627,0.04746517539024353,0.09191008657217026,0.9651261568069458,1719913591896658495,-0.5831487774848938,0.6116740107536316,-0.03136323019862175,1719913591900135199,-3.4706709384918213,-59.02399826049805,24.10672950744629,1719913591898885646,43717.0,56906.0,54427.0,47254.0,11.60572338104248,2.0153183937072754,151.61439514160156,1719913591897621216,3.10909104347229
1719913591913887930,-0.7202879190444946,-0.1723778396844864,0.9374094009399414,1719913591915070426,0.23878313601016998,0.052670471370220184,0.0902167558670044,0.9654363393783569,1719913591906430989,-0.5748900771141052,0.6352041959762573,-0.031923744827508926,1719913591911897004,-5.296677589416504,-46.170162200927734,24.366188049316406,1719913591908802854,59080.0,48009.0,42194.0,59833.0,11.56409740447998,2.7177140712738037,151.74220275878906,1719913591907416092,3.1143696308135986
