"Step","success","random4to5_woparticle_TP_seed1/09-08_22-43 - train/stats.success__MIN","random4to5_woparticle_TP_seed1/09-08_22-43 - train/stats.success__MAX"
"2762","0.01611328125","0.01611328125","0.01611328125"
"2787","0.01171875","0.01171875","0.01171875"
"2812","0.01904296875","0.01904296875","0.01904296875"
"2837","0.015625","0.015625","0.015625"
"2862","0.0146484375","0.0146484375","0.0146484375"
"2887","0.01904296875","0.01904296875","0.01904296875"
"2912","0.02001953125","0.02001953125","0.02001953125"
"2937","0.015625","0.015625","0.015625"
"2962","0.01611328125","0.01611328125","0.01611328125"
"2987","0.01611328125","0.01611328125","0.01611328125"
"3012","0.01953125","0.01953125","0.01953125"
"3037","0.017578125","0.017578125","0.017578125"
"3062","0.01220703125","0.01220703125","0.01220703125"
"3087","0.01953125","0.01953125","0.01953125"
"3112","0.01806640625","0.01806640625","0.01806640625"
"3137","0.01806640625","0.01806640625","0.01806640625"
"3162","0.015625","0.015625","0.015625"
