pos.time,pos.x,pos.y,pos.z,rpy.r,rpy.p,rpy.y,vel.time,vel.x,vel.y,vel.z,rate_rpy.time,rate_rpy.r,rate_rpy.p,rate_rpy.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1719993343824192407,0.021768895909190178,-0.00763049628585577,0.020627358928322792,0.32364144921302795,0.669375479221344,2.596428155899048,1719993343816633010,0.010872726328670979,-0.004114085342735052,-0.0005510005867108703,1719993343825872236,-3.0,0.0,2.0,1719993343822501949,0.0,0.0,0.0,0.0
1719993343834042232,0.021775195375084877,-0.007635066751390696,0.020640350878238678,0.3216056227684021,0.6696271896362305,2.5942537784576416,1719993343829439204,0.011259072460234165,-0.004196926951408386,-0.00033633693237788975,1719993343835170493,1.0,-5.0,0.0,1719993343832864339,0.0,0.0,0.0,0.0
1719993343843511058,0.02178812585771084,-0.0076488652266561985,0.020661573857069016,0.32139065861701965,0.6673387885093689,2.5912859439849854,1719993343837354849,0.01135466992855072,-0.004163152538239956,-0.00010825843492057174,1719993343844634986,-2.0,0.0,-2.0,1719993343842329738,0.0,0.0,0.0,0.0
1719993343853830941,0.021798625588417053,-0.0076618134044110775,0.020673450082540512,0.32142314314842224,0.6665234565734863,2.5937397480010986,1719993343846988063,0.011464729905128479,-0.004162931814789772,-6.060651139705442e-05,1719993343855713274,0.0,0.0,-3.0,1719993343851163914,0.0,0.0,0.0,0.0
1719993343863260271,0.02180042676627636,-0.007661878131330013,0.020680328831076622,0.3215843439102173,0.6652504801750183,2.5893540382385254,1719993343858322966,0.011461536400020123,-0.004054907243698835,-5.469425559567753e-06,1719993343864052815,0.0,-3.0,1.0,1719993343861493180,0.0,0.0,0.0,0.0
1719993343872719343,0.021797461435198784,-0.007662428077310324,0.02067992463707924,0.3207625448703766,0.6634329557418823,2.5863733291625977,1719993343865978254,0.011508413590490818,-0.003930705599486828,-6.758173549314961e-05,1719993343873851019,-2.0,1.0,2.0,1719993343871565825,0.0,0.0,0.0,0.0
1719993343882063820,0.021801643073558807,-0.007659706752747297,0.02067878097295761,0.32073286175727844,0.6617063283920288,2.5836007595062256,1719993343876320523,0.011603966355323792,-0.003981312271207571,-0.00016986428818199784,1719993343884364469,-2.0,0.0,1.0,1719993343880928625,0.0,0.0,0.0,0.0
1719993343891720938,0.02180386148393154,-0.0076631479896605015,0.02067987248301506,0.3199416697025299,0.6609628796577454,2.5824942588806152,1719993343886537107,0.011632292531430721,-0.003938306123018265,-0.0002371281007071957,1719993343892727981,-1.0,1.0,0.0,1719993343890698728,0.0,0.0,0.0,0.0
1719993343903243263,0.021790210157632828,-0.007656322792172432,0.020677650347352028,0.3189365863800049,0.6607570052146912,2.5797505378723145,1719993343895339686,0.011727518402040005,-0.003789724549278617,-0.00027336011407896876,1719993343904479015,-2.0,2.0,0.0,1719993343902270867,0.0,0.0,0.0,0.0
1719993343912688110,0.02179449424147606,-0.007654799148440361,0.02066999115049839,0.3168688118457794,0.6613008379936218,2.579291343688965,1719993343907361432,0.011708173900842667,-0.003711607540026307,-0.00041040030191652477,1719993343913689428,0.0,-4.0,6.0,1719993343910776379,0.0,0.0,0.0,0.0
1719993343922039708,0.021790841594338417,-0.007656544912606478,0.020666232332587242,0.31642642617225647,0.6590821146965027,2.577812671661377,1719993343916356069,0.0117017338052392,-0.003994598053395748,-0.0005853442708030343,1719993343923320884,1.0,0.0,-1.0,1719993343920202593,0.0,0.0,0.0,0.0
1719993343932314019,0.021801942959427834,-0.0076753245666623116,0.02065712958574295,0.3168417513370514,0.6578800082206726,2.5744857788085938,1719993343926994442,0.01176574919372797,-0.003989942837506533,-0.0005506977322511375,1719993343933569783,0.0,6.0,-2.0,1719993343930530928,0.0,0.0,0.0,0.0
1719993343943125820,0.021785838529467583,-0.007661717012524605,0.020658234134316444,0.3173861801624298,0.6592958569526672,2.571542978286743,1719993343935585445,0.011698435060679913,-0.0038380585610866547,-0.0005318244802765548,1719993343944231167,3.0,1.0,-3.0,1719993343940947667,0.0,0.0,0.0,0.0
1719993343951614926,0.021777382120490074,-0.007656264118850231,0.02067062258720398,0.3181593418121338,0.6584426760673523,2.5682640075683594,1719993343946098754,0.011803521774709225,-0.0036435818765312433,-0.0005414875922724605,1719993343954246477,-3.0,0.0,0.0,1719993343950565906,0.0,0.0,0.0,0.0
1719993343961824651,0.021726317703723907,-0.0076280380599200726,0.020684652030467987,0.31808212399482727,0.6573647856712341,2.575423240661621,1719993343955553940,0.01193578727543354,-0.003589011961594224,-0.0004152351466473192,1719993343963215331,-2.0,2.0,-5.0,1719993343960886703,0.0,0.0,0.0,0.0
1719993343971158202,0.021751536056399345,-0.007624851539731026,0.020683664828538895,0.3178214132785797,0.656685471534729,2.571099042892456,1719993343965151271,0.012082432396709919,-0.003451149445027113,-0.0003288989537395537,1719993343972109643,0.0,-3.0,-1.0,1719993343970127629,0.0,0.0,0.0,0.0
1719993343980782707,0.02176266722381115,-0.007624761201441288,0.020674310624599457,0.3176584243774414,0.6549491882324219,2.567753314971924,1719993343975220249,0.012339162640273571,-0.0033823619596660137,-0.0001795705029508099,1719993343982115230,0.0,2.0,-7.0,1719993343979651272,0.0,0.0,0.0,0.0
1719993343991461744,0.02180776186287403,-0.0076540992595255375,0.0206603966653347,0.3182920217514038,0.6529484391212463,2.5634398460388184,1719993343984388259,0.012446333654224873,-0.003365537617355585,-0.00017690881213638932,1719993343992199105,5.0,-2.0,-2.0,1719993343990763179,0.0,0.0,0.0,0.0
1719993344002266088,0.021688338369131088,-0.007623372599482536,0.02065099962055683,0.3199867606163025,0.6521588563919067,2.5658180713653564,1719993343994450293,0.012742417864501476,-0.0034095384180545807,-0.0001702594308881089,1719993344003253423,2.0,-4.0,-3.0,1719993344000935742,0.0,0.0,0.0,0.0
1719993344011176706,0.021698733791708946,-0.007620031479746103,0.02064833790063858,0.3197961747646332,0.6513581871986389,2.5708823204040527,1719993344006391930,0.012854616157710552,-0.0034150080755352974,-0.00012528403021860868,1719993344012083632,-3.0,0.0,1.0,1719993344010215090,0.0,0.0,0.0,0.0
1719993344023055597,0.02182418666779995,-0.007654188666492701,0.020647073164582253,0.31900298595428467,0.651257336139679,2.5682003498077393,1719993344015333615,0.012662223540246487,-0.003511948511004448,-0.0001258869597222656,1719993344023962081,0.0,2.0,1.0,1719993344020833094,0.0,0.0,0.0,0.0
1719993344033840283,0.021763861179351807,-0.0076298462226986885,0.02064334787428379,0.32049354910850525,0.6506881713867188,2.571716547012329,1719993344027257039,0.012089262716472149,-0.0033964505419135094,-0.00013772875536233187,1719993344036595894,-2.0,-3.0,-3.0,1719993344032745138,0.0,0.0,0.0,0.0
1719993344042426182,0.02179417945444584,-0.007640405558049679,0.020639918744564056,0.3184918463230133,0.6508387923240662,2.569920539855957,1719993344039213760,0.012245625257492065,-0.003424502443522215,-0.0001314164255745709,1719993344043220631,-3.0,-1.0,-2.0,1719993344041516270,0.0,0.0,0.0,0.0
1719993344051478227,0.021745577454566956,-0.007639280986040831,0.020638199523091316,0.31838521361351013,0.6486473679542542,2.5674631595611572,1719993344046953449,0.011794845573604107,-0.0031576291657984257,-0.0002773634623736143,1719993344052342490,-2.0,-1.0,0.0,1719993344050568643,0.0,0.0,0.0,0.0
1719993344061953258,0.021698657423257828,-0.007610083557665348,0.02064940705895424,0.31838521361351013,0.6486473679542542,2.5674631595611572,1719993344055388197,0.01145175751298666,-0.002766224555671215,-0.00041029872954823077,1719993344063515754,0.0,-3.0,2.0,1719993344060965703,0.0,0.0,0.0,0.0
1719993344073035829,0.021699490025639534,-0.007616724818944931,0.020646806806325912,0.31801602244377136,0.6468522548675537,2.5648574829101562,1719993344065209705,0.011580852791666985,-0.0027053779922425747,-0.00037186226109042764,1719993344073984920,0.0,-1.0,-1.0,1719993344071492734,0.0,0.0,0.0,0.0
1719993344081989194,0.02167627215385437,-0.007601895835250616,0.020652465522289276,0.31785956025123596,0.6452872157096863,2.5594594478607178,1719993344075865058,0.011714919470250607,-0.002620939165353775,-0.0002753346925601363,1719993344083092884,2.0,0.0,-5.0,1719993344081137419,0.0,0.0,0.0,0.0
1719993344092684090,0.021661151200532913,-0.007588107604533434,0.020649120211601257,0.3182644248008728,0.6431902647018433,2.5558252334594727,1719993344084878571,0.012109249830245972,-0.0025985969696193933,-0.00026565915322862566,1719993344093741964,2.0,-3.0,-1.0,1719993344091644594,0.0,0.0,0.0,0.0
1719993344103435110,0.02168380469083786,-0.0075980378314852715,0.020640110597014427,0.3181398808956146,0.6433836221694946,2.5584073066711426,1719993344097003077,0.012195579707622528,-0.0024132307153195143,-0.00029047264251857996,1719993344104395371,0.0,-5.0,-2.0,1719993344102416571,0.0,0.0,0.0,0.0
1719993344112557959,0.02169628255069256,-0.007609054446220398,0.020638734102249146,0.3198753893375397,0.642898440361023,2.561826467514038,1719993344106362119,0.012323616072535515,-0.0025524504017084837,-0.00033953567617572844,1719993344113728921,-1.0,0.0,1.0,1719993344110625772,0.0,0.0,0.0,0.0
1719993344122866504,0.021702367812395096,-0.0076174247078597546,0.020645909011363983,0.31868112087249756,0.6419751644134521,2.559786796569824,1719993344115739452,0.012336218729615211,-0.002635743236169219,-0.0005224937340244651,1719993344123884446,0.0,-3.0,6.0,1719993344120802502,0.0,0.0,0.0,0.0
1719993344131157510,0.021683044731616974,-0.007601635064929724,0.020650340244174004,0.3190542459487915,0.6411028504371643,2.558518648147583,1719993344125735736,0.012321997433900833,-0.002746038604527712,-0.0006261661765165627,1719993344132855169,-3.0,0.0,0.0,1719993344130034995,0.0,0.0,0.0,0.0
1719993344141612077,0.021673807874321938,-0.00759176816791296,0.020660847425460815,0.31721654534339905,0.640397310256958,2.554926872253418,1719993344134899515,0.012426665052771568,-0.0029871321748942137,-0.000695548253133893,1719993344143389411,1.0,-1.0,-2.0,1719993344140293057,0.0,0.0,0.0,0.0
1719993344152232919,0.021667510271072388,-0.0075878603383898735,0.020667938515543938,0.31792959570884705,0.6407769322395325,2.5510828495025635,1719993344146252889,0.012448729947209358,-0.003074266482144594,-0.0006531316321343184,1719993344153383349,0.0,0.0,-5.0,1719993344151223905,0.0,0.0,0.0,0.0
1719993344162631163,0.02166396751999855,-0.007586233783513308,0.02067030966281891,0.3166182041168213,0.6411869525909424,2.5468780994415283,1719993344155571948,0.012448277324438095,-0.003084103809669614,-0.000587859598454088,1719993344164652957,0.0,6.0,-3.0,1719993344161836468,0.0,0.0,0.0,0.0
1719993344172961757,0.021662328392267227,-0.007584996521472931,0.020667657256126404,0.3162647485733032,0.64129638671875,2.543215274810791,1719993344167136129,0.01246651355177164,-0.0030352005269378424,-0.0005096365348435938,1719993344174029926,0.0,-1.0,3.0,1719993344172295578,0.0,0.0,0.0,0.0
1719993344181236234,0.021659759804606438,-0.0075812493450939655,0.020668502897024155,0.31662413477897644,0.6395353674888611,2.539583444595337,1719993344176139953,0.01247792411595583,-0.0029474785551428795,-0.00042869997560046613,1719993344182585666,-1.0,0.0,2.0,1719993344180136744,0.0,0.0,0.0,0.0
1719993344193013348,0.021656576544046402,-0.007582418154925108,0.020667625591158867,0.3165959119796753,0.638428807258606,2.5385632514953613,1719993344186058244,0.012376714497804642,-0.0029675564728677273,-0.00035366794327273965,1719993344194152953,1.0,2.0,0.0,1719993344190908519,0.0,0.0,0.0,0.0
1719993344201783198,0.021655824035406113,-0.007588554173707962,0.02066868543624878,0.3156403601169586,0.637011706829071,2.5372092723846436,1719993344196176190,0.012290009297430515,-0.0028902669437229633,-0.0003898278228007257,1719993344203530693,0.0,-5.0,2.0,1719993344200840351,0.0,0.0,0.0,0.0
1719993344210976155,0.021651245653629303,-0.007589193992316723,0.020667986944317818,0.3155682682991028,0.6364104151725769,2.5352509021759033,1719993344205563280,0.012301846407353878,-0.0028873332776129246,-0.0004103282990399748,1719993344211803960,1.0,-1.0,7.0,1719993344210169159,0.0,0.0,0.0,0.0
1719993344221326946,0.021650318056344986,-0.007588871289044619,0.020665612071752548,0.3158661425113678,0.6363033056259155,2.5341551303863525,1719993344214426162,0.012441552244126797,-0.003066535573452711,-0.00037297134986147285,1719993344222469084,0.0,0.0,0.0,1719993344220553773,0.0,0.0,0.0,0.0
1719993344231196849,0.021651865914463997,-0.0075838277116417885,0.02066839672625065,0.31588149070739746,0.6344606876373291,2.5316505432128906,1719993344224720235,0.01248480286449194,-0.0031471243128180504,-0.00038977438816800714,1719993344232080572,0.0,0.0,-5.0,1719993344230488315,0.0,0.0,0.0,0.0
1719993344240364324,0.021660052239894867,-0.007588143926113844,0.020674368366599083,0.3151027262210846,0.6342017650604248,2.5271129608154297,1719993344235466214,0.012390838004648685,-0.0031748823821544647,-0.00042444048449397087,1719993344241857165,0.0,0.0,0.0,1719993344239612253,0.0,0.0,0.0,0.0
1719993344251865003,0.02178221568465233,-0.00761971203610301,0.020670156925916672,0.31551575660705566,0.6342271566390991,2.5258162021636963,1719993344244811485,0.01238269917666912,-0.003163784509524703,-0.00046192522859200835,1719993344252997211,1.0,3.0,-3.0,1719993344250674957,0.0,0.0,0.0,0.0
1719993344262213243,0.02180781215429306,-0.0076422542333602905,0.020663337782025337,0.3154178559780121,0.6336567997932434,2.5218300819396973,1719993344255973836,0.012478625401854515,-0.0032446831464767456,-0.0005077655659988523,1719993344263188817,0.0,0.0,1.0,1719993344260297248,0.0,0.0,0.0,0.0
1719993344271863541,0.0217928234487772,-0.007637168280780315,0.020669981837272644,0.3148129880428314,0.6342668533325195,2.525376558303833,1719993344266040877,0.012557653710246086,-0.0031876186840236187,-0.00035803273203782737,1719993344273217832,1.0,1.0,-4.0,1719993344271393867,0.0,0.0,0.0,0.0
1719993344282755523,0.021815262734889984,-0.007650378625839949,0.020659256726503372,0.3165072798728943,0.6361029744148254,2.526930570602417,1719993344275721998,0.012830217368900776,-0.003167771967127919,-0.0004462982469704002,1719993344283702606,3.0,2.0,0.0,1719993344281195712,0.0,0.0,0.0,0.0
