pos.time,pos.x,pos.y,pos.z,rpy.r,rpy.p,rpy.y,vel.time,vel.x,vel.y,vel.z,rate_rpy.time,rate_rpy.r,rate_rpy.p,rate_rpy.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1719993864408508200,0.01881205476820469,0.03430471941828728,0.32800692319869995,-0.6934875249862671,0.6528074741363525,18.196813583374023,1719993864411728324,-0.03578312695026398,-0.016246460378170013,-0.014321773312985897,1719993864409598695,165.0,-78.0,-14.0,1719993864407203375,52793.0,35051.0,50313.0,38059.0
1719993864417966933,0.018762342631816864,0.03427001088857651,0.3279232978820801,-0.5930423736572266,0.614830732345581,18.190505981445312,1719993864422026132,-0.036213286221027374,-0.015478766523301601,-0.012036609463393688,1719993864419065023,159.0,-113.0,-34.0,1719993864416763645,51958.0,33886.0,50788.0,38968.0
1719993864428656949,0.018604369834065437,0.03431834653019905,0.32780319452285767,-0.5014675855636597,0.5536323189735413,18.173131942749023,1719993864431854146,-0.03682699054479599,-0.014550894498825073,-0.011124499142169952,1719993864429755372,174.0,-138.0,-32.0,1719993864427077995,53698.0,35692.0,49358.0,37888.0
1719993864439193886,0.018525635823607445,0.03428178280591965,0.3276875913143158,-0.3937770128250122,0.4836793839931488,18.14958381652832,1719993864443291642,-0.03696877136826515,-0.01408462692052126,-0.010932271368801594,1719993864440286475,135.0,-150.0,-31.0,1719993864436727183,52166.0,34540.0,51364.0,38806.0
1719993864447800398,0.018398534506559372,0.03431565687060356,0.32766422629356384,-0.30633026361465454,0.3975934684276581,18.132156372070312,1719993864452787379,-0.03707953169941902,-0.013498920947313309,-0.00946534238755703,1719993864449574420,82.0,-159.0,-22.0,1719993864446852943,52683.0,34473.0,50665.0,38935.0
1719993864458198108,0.018328947946429253,0.03430330753326416,0.3276160657405853,-0.24791480600833893,0.3021102845668793,18.11481285095215,1719993864464422939,-0.036788132041692734,-0.013109484687447548,-0.007405141834169626,1719993864460408874,58.0,-126.0,-33.0,1719993864457004208,51611.0,33033.0,51251.0,39629.0
1719993864468079000,0.018212946131825447,0.034365903586149216,0.3275530934333801,-0.20772211253643036,0.22535043954849243,18.095319747924805,1719993864472745971,-0.03653622046113014,-0.012527878396213055,-0.00659567303955555,1719993864470151642,20.0,-73.0,-45.0,1719993864467152406,51769.0,33909.0,51283.0,39559.0
1719993864479189152,0.017849979922175407,0.034239523112773895,0.32748350501060486,-0.18611083924770355,0.174771249294281,18.0671329498291,1719993864483153169,-0.03616505488753319,-0.011956252157688141,-0.004952952265739441,1719993864480948225,-1.0,-5.0,-64.0,1719993864478061081,50475.0,34945.0,52771.0,38525.0
1719993864487930752,0.017917046323418617,0.034574367105960846,0.3276577889919281,-0.1815776526927948,0.1575942486524582,18.037120819091797,1719993864491166545,-0.0360620953142643,-0.011163579300045967,-0.002793062012642622,1719993864488942221,-9.0,9.0,-57.0,1719993864486775271,50898.0,33952.0,51498.0,38636.0
1719993864499472073,0.01755821891129017,0.034461650997400284,0.3276217579841614,-0.18960388004779816,0.1583612561225891,18.004867553710938,1719993864502991647,-0.03585284203290939,-0.010537528432905674,-0.0020068269222974777,1719993864500262013,-59.0,63.0,-59.0,1719993864497234013,48819.0,34223.0,53761.0,38521.0
