send_msg.time,send_msg.r,send_msg.p,send_msg.y,send_msg.thrust
1716287322612496021,-0.5504065146669745,3.4704116731882095,0.0,45202.029296875
1716287322622961602,2.599125746637583,4.4328077137470245,0.0,45507.224609375
1716287322633197299,-0.9044268820434809,3.000621758401394,0.0,45257.0595703125
1716287322643690381,-3.0851301178336143,2.2574607655406,0.0,45154.67578125
1716287322654609655,-2.8112132102251053,-0.5458773951977491,0.0,45251.1435546875
1716287322665155104,-1.3197861425578594,2.5086638890206814,0.0,45450.1201171875
1716287322675138554,1.4491267874836922,0.25614148937165737,0.0,45279.8583984375
1716287322685783386,-4.479380585253239,1.6074949689209461,0.0,45231.98828125
1716287322696373110,-3.3740046992897987,-0.5448501091450453,0.0,45211.7724609375
1716287322708945217,-2.350837681442499,0.20264022052288055,0.0,45472.818359375
1716287322717379481,-3.9020441472530365,-2.654470279812813,0.0,45195.7724609375
1716287322728180575,0.15758225228637457,-1.0317257791757584,0.0,45245.74609375
1716287322738449603,0.521765467710793,0.3983141575008631,0.0,45431.4287109375
1716287322749064673,4.538240991532803,3.521377667784691,0.0,44971.8759765625
1716287322760019998,-7.187589257955551,-3.831392750144005,0.0,45314.0986328125
1716287322771029126,8.205145597457886,4.314678534865379,0.0,45052.4736328125
1716287322780809689,1.1707373801618814,3.1352549046278,0.0,45357.447265625
1716287322791561624,-6.084695085883141,-3.0031490698456764,0.0,45379.41796875
1716287322802422082,7.768803834915161,2.3881182074546814,0.0,44965.8828125
1716287322812426485,-6.1240920424461365,-2.518801297992468,0.0,45353.3583984375
1716287322823056129,-1.0512334015220404,-1.7425820790231228,0.0,45379.54296875
1716287322833504472,1.0536845214664936,-1.8431523442268372,0.0,45237.1748046875
1716287322844290794,-0.5580689990893006,-0.23967593209818006,0.0,45147.5078125
1716287322854754415,-1.2541254982352257,-1.64405582472682,0.0,45164.361328125
1716287322865495049,0.34346784465014935,-2.3103212378919125,0.0,45387.5859375
1716287322875555696,1.900931317359209,1.2494743801653385,0.0,45190.2861328125
1716287322885985766,0.19330068491399288,0.31044165836647153,0.0,45026.037109375
1716287322896386437,-2.0411561988294125,-3.076350912451744,0.0,45440.54296875
1716287322906324683,0.6166623998433352,-1.779940389096737,0.0,45168.6279296875
1716287322916654897,-1.62382073700428,-2.1261324360966682,0.0,45178.3623046875
1716287322927195735,1.2313100416213274,1.6278931684792042,0.0,45156.38671875
1716287322937549854,-2.568417973816395,-2.98669271171093,0.0,45151.638671875
1716287322948354295,0.5655769631266594,-2.275967001914978,0.0,45301.7705078125
