pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4,motor_req.time,motor_req.m1,motor_req.m2,motor_req.m3,motor_req.m4
1706605184978380648,0.4199140667915344,-0.319985955953598,0.8833510875701904,1706605184980489984,0.9994387626647949,-0.03160754218697548,0.004925826098769903,-0.009841249324381351,1706605184994942628,-0.8307897448539734,0.2692801356315613,0.10530173778533936,1706605184977290933,20.812631607055664,17.452476501464844,5.48928165435791,1706605184981909815,0.3559861481189728,-0.3165137767791748,0.10390215367078781,24093.0,1706605185005239796,-14.463692665100098,13.191671371459961,-26.223724365234375,45974.0,1706605184985875785,29255.0,21555.0,46959.0,23814.0,1706605185009458682,55608.0,41205.0,47227.0,46828.0
1706605184989427457,0.41622433066368103,-0.31878817081451416,0.883999764919281,1706605184990549400,0.9994937181472778,-0.02932540699839592,0.007643807213753462,-0.0095871202647686,1706605185006503359,-0.819259524345398,0.2710765600204468,0.10071219503879547,1706605184988311431,19.170961380004883,19.40619468688965,6.236783504486084,1706605184992224196,0.34522250294685364,-0.3816484212875366,0.09950707107782364,45834.0,1706605185014618238,-14.478706359863281,19.791147232055664,-25.817413330078125,46155.0,1706605184997516887,56583.0,42969.0,37409.0,43430.0,1706605185017665506,56988.0,41033.0,49272.0,49257.0
1706605185001058538,0.4110160768032074,-0.31714701652526855,0.884800374507904,1706605185002654056,0.9995328783988953,-0.02734740823507309,0.009996156208217144,-0.00918139610439539,1706605185015582315,-0.8211954236030579,0.2774462401866913,0.09758436679840088,1706605185000122973,21.898988723754883,27.74410057067871,5.134359836578369,1706605185004133627,0.3970833718776703,-0.5106319785118103,0.09774281084537506,45974.0,1706605185023779203,-17.092193603515625,17.80805015563965,-34.32502365112305,45956.0,1706605185007964955,55608.0,41205.0,47227.0,46828.0,1706605185027537394,25070.0,5944.0,35930.0,16826.0
1706605185011628657,0.4052465260028839,-0.3152845799922943,0.8856021165847778,1706605185012776568,0.9995737671852112,-0.02335536479949951,0.015279899351298809,-0.008444973267614841,1706605185024833721,-0.8171764612197876,0.2812025845050812,0.09388786554336548,1706605185010186421,21.376792907714844,30.403898239135742,6.07088565826416,1706605185013594344,0.32862579822540283,-0.5146642923355103,0.1163855567574501,46155.0,1706605185033541900,-21.206159591674805,11.278969764709473,-36.60934829711914,46003.0,1706605185016678845,56988.0,41033.0,49272.0,49257.0,1706605185038057250,59537.0,37056.0,44802.0,53115.0
1706605185020389242,0.39593279361724854,-0.31211137771606445,0.8869308233261108,1706605185020886677,0.9995755553245544,-0.021813586354255676,0.01754954271018505,-0.00793383363634348,1706605185034689921,-0.8100481033325195,0.28377896547317505,0.09165255725383759,1706605185018785945,16.667865753173828,27.984912872314453,6.384871482849121,1706605185021933900,0.24713903665542603,-0.4703497886657715,0.12200722098350525,45956.0,1706605185042823036,-23.504253387451172,23.063413619995117,-24.49201011657715,45928.0,1706605185025833638,25070.0,5944.0,35930.0,16826.0,1706605185046083366,54029.0,40792.0,50335.0,47614.0
1706605185030049892,0.3881237804889679,-0.30949729681015015,0.8879578113555908,1706605185031024013,0.9995622634887695,-0.020810510963201523,0.01965596340596676,-0.007338373456150293,1706605185044250324,-0.8012387752532959,0.28569623827934265,0.0897253230214119,1706605185029024631,8.748285293579102,20.803403854370117,7.794945240020752,1706605185032144222,0.1261056512594223,-0.31735166907310486,0.11237504333257675,46003.0,1706605185051138452,-24.840898513793945,23.238666534423828,-23.897811889648438,45824.0,1706605185036058310,59537.0,37056.0,44802.0,53115.0,1706605185053969582,55001.0,44290.0,54058.0,48313.0
1706605185039858959,0.38108935952186584,-0.30711379647254944,0.8888508677482605,1706605185040841371,0.9995436072349548,-0.02027701772749424,0.02126378007233143,-0.006876461207866669,1706605185052005308,-0.7915394306182861,0.2875498831272125,0.0874265804886818,1706605185038691704,2.413372755050659,13.975025177001953,6.34127950668335,1706605185041644097,-0.008902211673557758,-0.1745672971010208,0.1165786162018776,45928.0,1706605185059727085,-19.82990837097168,29.08881950378418,-36.586673736572266,45715.0,1706605185045141302,54029.0,40792.0,50335.0,47614.0,1706605185062395521,53808.0,42205.0,54722.0,48990.0
1706605185048144579,0.37448811531066895,-0.3048361837863922,0.8896771669387817,1706605185049141549,0.9995239973068237,-0.020327577367424965,0.022291377186775208,-0.006299760192632675,1706605185060586967,-0.7871193885803223,0.29146862030029297,0.08662591874599457,1706605185047070387,-4.948732376098633,5.440592288970947,7.409469127655029,1706605185050095388,-0.13457097113132477,0.01002490520477295,0.11462545394897461,45824.0,1706605185067553319,40.81536102294922,-57.36516571044922,-47.41752243041992,28467.0,1706605185052916848,55001.0,44290.0,54058.0,48313.0,1706605185070708295,20579.0,29660.0,57406.0,27465.0
1706605185055802989,0.3681524395942688,-0.3025340139865875,0.8904988765716553,1706605185056829578,0.999512255191803,-0.021005144342780113,0.022354166954755783,-0.005683574825525284,1706605185068742449,-0.7878062725067139,0.29712483286857605,0.08961954712867737,1706605185055001858,-12.036526679992676,-7.738215923309326,7.835256576538086,1706605185058870764,-0.26367947459220886,0.20097383856773376,0.13940970599651337,45715.0,1706605185075239490,-23.716625213623047,29.101716995239258,-41.537864685058594,45708.0,1706605185061497095,53808.0,42205.0,54722.0,48990.0,1706605185078032692,54256.0,45714.0,55237.0,47218.0
1706605185064814451,0.35883018374443054,-0.299215167760849,0.8916690349578857,1706605185065716440,0.9995165467262268,-0.02260255627334118,0.02073468640446663,-0.004884387366473675,1706605185076130489,-0.7829457521438599,0.301231324672699,0.09223461151123047,1706605185063683919,-20.799177169799805,-18.66259765625,8.687731742858887,1706605185066703205,-0.39249682426452637,0.3986043930053711,0.15396180748939514,28467.0,1706605185085174551,-23.84267807006836,22.85654640197754,-38.09493637084961,45727.0,1706605185069816553,20579.0,29660.0,57406.0,27465.0,1706605185088734868,51336.0,43153.0,52595.0,44974.0
1706605185072431114,0.35118427872657776,-0.29637932777404785,0.8926594257354736,1706605185073268619,0.9995177984237671,-0.024646013975143433,0.01839141733944416,-0.004057124722748995,1706605185086279180,-0.7757477760314941,0.30469924211502075,0.09449693560600281,1706605185071566249,-24.35678482055664,-31.03279685974121,7.901007652282715,1706605185074251136,-0.43004655838012695,0.5622085928916931,0.12329494953155518,45708.0,1706605185094682794,42.56613540649414,-57.28244400024414,-46.663108825683594,45727.0,1706605185077132131,54256.0,45714.0,55237.0,47218.0,1706605185097546683,19804.0,25003.0,54109.0,24301.0
