pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,cmd.time,cmd.thrust,cmd.r_rate,cmd.p_rate,cmd.y_rate
1701086690008150125,0.005149397067725658,0.007089612074196339,0.021037885919213295,1701086689999944597,0.9983331561088562,0.0021429327316582203,-0.002236379077658057,-0.05761357396841049,1701086690006433301,-0.01291682105511427,-0.004338602069765329,0.009377561509609222,1701086690001082393,0.029212838038802147,0.003179995808750391,-0.05617667734622955,1701086690005477965,0.0,-1.5970133543014526,-1.4711647033691406,0.0
1701086690017332858,0.005126488860696554,0.007129217963665724,0.021130893379449844,1701086690009031014,0.9983377456665039,0.0021935985423624516,-0.002267548581585288,-0.057531483471393585,1701086690015444993,-0.012789910659193993,-0.004494903609156609,0.009425082243978977,1701086690010092345,0.014541652984917164,0.022641701623797417,0.050945498049259186,1701086690014540275,0.0,-1.5618255138397217,-1.4642356634140015,0.0
1701086690027626767,0.0051110414788126945,0.007060039788484573,0.02110547386109829,1701086690020056042,0.9983415007591248,0.0021432789508253336,-0.0022544192615896463,-0.057467907667160034,1701086690025085538,-0.012871150858700275,-0.004641518462449312,0.009428422898054123,1701086690021707642,-0.047066833823919296,-0.022143529728055,-0.007327419705688953,1701086690024134310,0.0,-1.5700539350509644,-1.4324594736099243,0.0
1701086690037292967,0.005012065637856722,0.0071122306399047375,0.02100829780101776,1701086690029224187,0.9983357191085815,0.002157645532861352,-0.0022092307917773724,-0.057568907737731934,1701086690035341654,-0.012925948947668076,-0.005099528003484011,0.009417093358933926,1701086690030297637,0.043819643557071686,-0.0024655750021338463,-0.03143584355711937,1701086690034563027,0.0,-1.629696011543274,-1.4867197275161743,0.0
1701086690047185183,0.005053877830505371,0.007099566515535116,0.020999275147914886,1701086690039844192,0.998339056968689,0.0022397662978619337,-0.0022927860263735056,-0.057505298405885696,1701086690045290009,-0.013220837339758873,-0.005175713915377855,0.00846228376030922,1701086690040890662,0.003175636986270547,0.030354825779795647,0.031198952347040176,1701086690044548702,0.0,-1.5499050617218018,-1.4806084632873535,0.0
1701086690063631387,0.004925693850964308,0.007047261577099562,0.021080205217003822,1701086690056490083,0.9983417391777039,0.0021246287506073713,-0.0022771654184907675,-0.05746397003531456,1701086690061657437,-0.013053607195615768,-0.005425792187452316,0.008121347986161709,1701086690056816597,-0.041131049394607544,-0.029119214043021202,0.0029459476936608553,1701086690060345534,0.0,-1.5993081331253052,-1.462206244468689,0.0
1701086690069920300,0.005007810425013304,0.007062819320708513,0.020976688712835312,1701086690064548868,0.9983372092247009,0.0021976546850055456,-0.0022547661792486906,-0.05754084140062332,1701086690068219978,-0.012430890463292599,-0.005467751994729042,0.007514291908591986,1701086690065378119,0.05236626788973808,0.016034478321671486,-0.03078884817659855,1701086690067252309,0.0,-1.6056491136550903,-1.469239354133606,0.0
1701086690080950832,0.004973039496690035,0.007062749471515417,0.02099648118019104,1701086690070709083,0.9983388185501099,0.0022063301876187325,-0.002265434479340911,-0.05751208961009979,1701086690079142266,-0.012603566981852055,-0.005741635803133249,0.006812976207584143,1701086690071990396,-0.019435105845332146,0.012967387214303017,0.03733300045132637,1701086690077591558,0.0,-1.546067476272583,-1.4443540573120117,0.0
1701086690088865552,0.0049990019761025906,0.007021105382591486,0.021006004884839058,1701086690082318548,0.9983417391777039,0.0021220867056399584,-0.0022242586128413677,-0.05746554955840111,1701086690086177514,-0.012591912411153316,-0.006113325245678425,0.007953686639666557,1701086690083450831,-0.0034145372919738293,-0.012240190990269184,-0.017623374238610268,1701086690085283484,0.0,-1.623166799545288,-1.4594565629959106,0.0
1701086690098005297,0.004996404051780701,0.006988003384321928,0.021028198301792145,1701086690089792994,0.9983361959457397,0.0022324572782963514,-0.0022528080735355616,-0.057556770741939545,1701086690096241711,-0.01264095026999712,-0.006455577444285154,0.007720045279711485,1701086690090730385,0.03534522280097008,0.01758117601275444,-0.004229418002068996,1701086690093665181,0.0,-1.600698709487915,-1.4762200117111206,0.0
1701086690108982854,0.004999674391001463,0.00694719422608614,0.021046094596385956,1701086690099759659,0.9983423352241516,0.002198705915361643,-0.0022750115022063255,-0.057450469583272934,1701086690106472938,-0.01266176626086235,-0.006803215015679598,0.007516986690461636,1701086690100721182,-0.03328259289264679,-0.0035549416206777096,0.030278241261839867,1701086690104064138,0.0,-1.57349693775177,-1.4645763635635376,0.0
1701086690118748362,0.005002111662179232,0.006930815987288952,0.021054454147815704,1701086690110029620,0.9983402490615845,0.0021601333282887936,-0.0022559338249266148,-0.057488881051540375,1701086690116948141,-0.012677864171564579,-0.007054029498249292,0.00781994592398405,1701086690110996419,0.008185983635485172,-0.004242228344082832,-0.027128145098686218,1701086690114613892,0.0,-1.6268651485443115,-1.4839262962341309,0.0
1701086690128426136,0.004999925848096609,0.006929689086973667,0.021052991971373558,1701086690119787452,0.9983404874801636,0.002235949505120516,-0.002288442337885499,-0.05748077481985092,1701086690125153915,-0.012706567533314228,-0.007257233839482069,0.007619436364620924,1701086690120699649,0.025054562836885452,0.01495080441236496,0.035835523158311844,1701086690124036162,0.0,-1.598632574081421,-1.4855928421020508,0.0
